code,name,details,priceCJ,pricePZ,imageUrl,offers
AD0127,AD. KRAFT CHEZZ W.NATURAL,12 / 120 GR,$429.83,$35.82,https://i.postimg.cc/htPGV5z7/AD0127.jpg,OFERTA
AG0116,AGUA E PURA PET 1.5LT,12 / 1.5 LT,$133.76,$11.15,https://i.postimg.cc/kXPtdFjh/AG0116.jpg,OFERTA
AG0117,AGUA E PURA PET 1LT,12 / 1 LT,$116.88,$9.74,https://i.postimg.cc/zXwHDb6D/AG0117.jpg,OFERTA
AG0209,AGUA E PURA PET 600ML,12 / 600 ML,$84.72,$7.06,https://i.postimg.cc/qvkhNBHs/AG0209.jpg,OFERTA
AM0146,CAMPEON AD.RECETAS CASERA,25 / KG,$768.84,$30.75,https://i.postimg.cc/13jmyym5/AM0146.jpg,OFERTA
AM0147,CAMPEON CACHO.REC.CASERAS,20 / KG,$840.69,$42.03,https://i.postimg.cc/43HJdjyv/AM0147.jpg,OFERTA
AM0660,PEDIGREE ADU. RES/VEG+2K,22 / KG,$794.45,$36.11,https://i.postimg.cc/vH52QhG1/AM0660.jpg,OFERTA
AM0636,PEDIGREE ADULTO RES/VEG 20K,20 / KG,$804.36,$40.22,https://i.postimg.cc/W3KY4fDZ/AM0636.jpg,OFERTA
AM0404,PEDIGREE RAZA.PEQU.20k,20 / KG,$802.19,$40.11,https://i.postimg.cc/G2j6hjFJ/AM0404.jpg,OFERTA
AM0251,PODER CANINO 25K,25 / KG,$557.16,$22.29,https://i.postimg.cc/sxTFKJ1D/AM0251.jpg,OFERTA
AM1319,WHISKAS RECETA ORIGINAL,20 / KG,$860.37,$43.02,https://i.postimg.cc/GtGKm3n0/AM1319.jpg,OFERTA
AR0659,GLADE ALEGRIA FLORA Y FRUTOS ROJOS GEL,12 / 70 GR,$151.45,$12.62,https://i.postimg.cc/pdd3qpb8/AR0659.jpg,OFERTA
AR0657,GLADE LAVANDA GEL HOME,12 / 70 GR,$151.45,$12.62,https://i.postimg.cc/Nf6h03k1/AR0657.jpg,OFERTA
AR0658,GLADE LIMON GEL HOME,12 / 70 GR,$151.45,$12.62,https://i.postimg.cc/t4pKnBrQ/AR0658.jpg,OFERTA
AR0660,GLADE MORA RADIANTE GEL HOME,12 / 70 GR,$151.45,$12.62,https://i.postimg.cc/zfP6M8qZ/AR0660.jpg,OFERTA
AR0621,GLADE MORA RADIANTE.275M,12 / 275 ML,$437.85,$36.49,https://i.postimg.cc/76MbHjts/AR0621.jpg,OFERTA
AR0540,PAST. FLASH BRISA MAR.72G,48 / 72 GR,$612.53,$12.76,https://i.postimg.cc/Cx18vMrF/AR0540.jpg,OFERTA
AR0184,PAST. FLASH GANCHO FLORAL,48 / 72 GR,$612.53,$12.76,https://i.postimg.cc/xTPGx40P/AR0184.jpg,OFERTA
AR0182,PAST. FLASH GANCHO LAVAND,48 / 72 GR,$612.53,$12.76,https://i.postimg.cc/L6SBVpMX/AR0182.jpg,OFERTA
AT0299,ATUN EL DORADO ACE24/130G,24 / 130 GR,$287.83,$11.99,https://i.postimg.cc/ry7F6VpV/AT0299.jpg,OFERTA
AT0298,ATUN EL DORADO AGUA 130G,24 / 130 GR,$287.83,$11.99,https://i.postimg.cc/k4P60Jvb/AT0298.jpg,OFERTA
BL0314,CLORALEX 500ML 20+2GRAT,22 / 500 ML,$176.17,$8.01,https://i.postimg.cc/vHxNDVrM/BL0314.jpg,OFERTA
BL0299,CLORALEX 850+100ML,15 / 950 ML,$215.57,$14.37,https://i.postimg.cc/MK8068Pw/BL0299.jpg,OFERTA
BL0279,CLOROX DUO ROPACOLOR 930M,7 / 2 UNI,$323.17,$46.17,https://i.postimg.cc/yYFPcNgW/BL0279.jpg,OFERTA
BT0568,PRINGLES CREMA Y CEBOLLA 40G,12 / 40 GR,$178.74,$14.90,https://i.postimg.cc/28KzdCsR/BT0568.jpg,OFERTA
BT0851,PRINGLES PAPAS CREMA CEBOLLA,12 / 37 GR,$166.24,$13.85,https://i.postimg.cc/G2WNLKB6/BT0851.jpg,OFERTA
BT0854,PRINGLES PAPAS LA ADOBADA,12 / 37 GR,$166.24,$13.85,https://i.postimg.cc/wTcPzh9G/BT0854.jpg,OFERTA
BT0850,PRINGLES PAPAS ORIGINAL,12 / 35 GR,$166.24,$13.85,https://i.postimg.cc/hjz6R6Gr/BT0850.jpg,OFERTA
