code,name,details,priceCJ,pricePZ,imageUrl,offers
AC0434,AC. CAPULLO CANOLA 400ML,12 / 400 ML,326.19,27.18,https://i.postimg.cc/HWcXyVDC/AC0434.jpg,DISPONIBLE
AC0810,AC. CAPULLO CANOLA 755ML,12 / 755 ML,556.95,46.41,https://i.postimg.cc/SKPjSfKY/AC0810.jpg,DISPONIBLE
AC0101,AC. VEGETAL 1-2-3 1L,12 / 1 LT,503.54,41.96,https://i.postimg.cc/g0z2qBxZ/AC0101.jpg,OFERTA
AC0103,AC. VEGETAL 1-2-3 500M,24 / 500 ML,513.89,21.41,https://i.postimg.cc/tgBCrt6m/AC0103.jpg,OFERTA
AC0120,AC. EL FARO 900ML,12 / 900 ML,431.01,35.92,https://i.postimg.cc/FRqFvrDy/AC0120.jpg,DISPONIBLE
AC2551,AC. PATRONA MIXTO 1LT,12 / 1 LT,476.7,39.73,https://i.postimg.cc/KjxDNw5J/AC2551.jpg,DISPONIBLE
AC2553,AC. PATRONA MIXTO 500ML,24 / 500 ML,487.38,20.31,https://i.postimg.cc/VvQ6MsnY/AC2553.jpg,DISPONIBLE
AC0770,AC. VILLACAMPO 800ML,12 / 800 ML,365.31,30.44,https://i.postimg.cc/rmvdJNX2/AC0711.jpg,OFERTA
AC0720,AC. GRAN TRADICIONAL 1 LT.,12 / 1 LT,444.05,37,https://i.postimg.cc/1Xw8YVsn/AC0720.jpg,OFERTA
AC0744,AC. GRAN TRADICIONAL 500ML,12 / 500 ML,237.38,19.78,https://i.postimg.cc/pVF5d4zW/AC0744.jpg,OFERTA
AC0474,AC. NUTRIOLI ACEITE SOYA 400M,12 / 400 ML,244.18,20.35,https://i.postimg.cc/YCkWZR4p/AC0474.jpg,OFERTA
AC0748,AC. NUTRIOLI AC.PUR.SOYA 800M,12 / 800 ML,457.54,38.13,https://i.postimg.cc/8PgJf4mh/AC0748.jpg,OFERTA
AD0127,AD. KRAFT CHEEZ WHIZ NAT.,12 / 120 GR,457.27,38.11,https://i.postimg.cc/hv9nJsnt/AD0127.jpg,DISPONIBLE
AD0103,AD. KRAFT CHEEZ WHIZ NAT.,24 / 235 ML,1609.41,67.06,https://i.postimg.cc/TYcwL6w6/AD0103.jpg,DISPONIBLE
AE0207,VERMEX ACEITUNA SALMUERA,48 / 70 GR,595.78,12.41,https://i.postimg.cc/15MmRrCR/AE0207.jpg,DISPONIBLE
AE0206,VERMEX ACEITUNA SALMUERA,5 / KG,387.79,77.56,https://i.postimg.cc/YSLM3Kpj/AE0206.jpg,DISPONIBLE
AE0135,BUFALO ACEITUNA MANZANILLA,24 / 190 GR,625.33,26.06,https://i.postimg.cc/nrJFrRfr/AE0135.jpg,DISPONIBLE
AE0154,BUFALO ACEITUNA MANZANILLA,24 / 150 GR,810.72,33.78,https://i.postimg.cc/GpZ2nxYt/AE0154.jpg,DISPONIBLE
AE0155,BUFALO ACEITUNA DESH. 220GR,24 / 220 GR,1210.45,50.44,https://i.postimg.cc/28CjfKxX/AE0155.jpg,DISPONIBLE
AE0129,BUFALO ACEIUTUNA DESHUESADA,24 / 175 GR,632.6,26.36,https://i.postimg.cc/gJRcY951/AE0129.jpg,DISPONIBLE
AF2066,SOLURAL FRESA-KIWI,12 / 500 ML,184.74,15.4,https://i.postimg.cc/C1dnYtKN/AF2066.jpg,DISPONIBLE
AF2062,SOLURAL MORA AZUL,12 / 500 ML,184.74,15.4,https://i.postimg.cc/BncKCHyx/AF2062.jpg,DISPONIBLE
AF2069,SOLURAL UVA,12 / 500 ML,184.74,15.4,https://i.postimg.cc/G2N8pQ81/AF2069.jpg,DISPONIBLE
AF0773,ALCOHOL L.C DESNAT/AZUL,24 / 230 ML,323.59,13.48,https://i.postimg.cc/6pgNTjdK/AF0773.jpg,DISPONIBLE
AF0774,ALCOHOL L.C POTAB/E. AZUL,24 / 430 ML,597.76,24.91,https://i.postimg.cc/k5SPSQcb/AF0774.jpg,DISPONIBLE
AF0781,ALCOHOL L.C POTAB/E. ROJA,24 / 430 ML,654.9,27.29,https://i.postimg.cc/50MdSX7k/AF0781.jpg,DISPONIBLE
AF0782,ALCOHOL L.C POTAB/E. ROJA,36 / 110 ML,344.1,9.56,https://i.postimg.cc/0QdgW9h5/AF0782.jpg,DISPONIBLE
AF0783,ALCOHOL L.C POTAB/E. ROJA,24 / 230 ML,351.45,14.64,https://i.postimg.cc/0QdgW9h5/AF0782.jpg,DISPONIBLE
AF1682,EXHIBIDOR RESUTIDO INVERNAL 2021 CT/2,1 / 1 UNI,507.81,507.81,https://i.postimg.cc/prTmWnj9/AF1682.jpg,DISPONIBLE
AF1849,SUEROX FRESA FRUTOS ROJOS,12 / 630 ML,219.09,18.26,https://i.postimg.cc/bwHx5FpT/AF1849.jpg,DISPONIBLE
AF1864,SUEROX O AZUCAR FRESA,12 / 630 ML,210.69,17.56,https://i.postimg.cc/rpV12CpL/AF1864.jpg,DISPONIBLE
AF1866,SUEROX O AZUCAR FRESA MENTA,12 / 630 ML,210.7,17.56,https://i.postimg.cc/JhpbrDyH/AF1866.jpg,DISPONIBLE
AF1819,ELECTROLIFE ZERO PONCHE FRUTAS,12 / 625 ML,231.62,19.3,https://i.postimg.cc/9MzT1fDZ/AF1819.jpg,OFERTA
AF1820,ELECTROLIFE ZERO FRESA KIWI,12 / 625 ML,231.62,19.3,https://i.postimg.cc/sX8WLRW8/AF1820.jpg,OFERTA
AF1823,ELECTROLIFE ZERO UVA,12 / 625 ML,231.62,19.3,https://i.postimg.cc/XqC5SDcv/AF1823.jpg,OFERTA
AF2052,ELECTROLIFE ZERO FRAMBUESA AZUL,12 / 625 ML,231.62,19.3,https://i.postimg.cc/N0CHh3V1/AF2052.jpg,OFERTA
AF1676,ELECTROLIT COCO 1LT,6 / 1 LT,165.41,27.57,https://i.postimg.cc/zf7S0M0Z/AF1676.jpg,OFERTA
AF2474,ELECTROLIT COCO,12 / 625 ML,244.79,20.4,https://i.postimg.cc/wvts9W8n/AF2474.jpg,OFERTA
AF1677,ELECTROLIT FRESA 1LT,6 / 1 LT,165.41,27.57,https://i.postimg.cc/d3k2Q0vw/AF1677.jpg,OFERTA
AF2012,ELECTROLIT FRESA KIWI 1LT,6 / 1 LT,165.37,27.56,https://i.postimg.cc/76c0zFnx/AF2012.jpg,OFERTA
AF1328,ELECTROLIT FRESA KIWI,12 / 625 ML,244.79,20.4,https://i.postimg.cc/L8rrmqp6/AF1328.jpg,OFERTA
AF2475,ELECTROLIT FRESA,12 / 625 ML,244.79,20.4,https://i.postimg.cc/Y0YGWhS3/AF2475.jpg,OFERTA
AF1331,ELECTROLIT LIMA LIMON,12 / 625 ML,244.79,20.4,https://i.postimg.cc/mD4JF0kv/AF1331.jpg,OFERTA
AF1675,ELECTROLIT MANZANA 1LT,6 / 1 LT,165.41,27.57,https://i.postimg.cc/yNsyhBhy/AF1675-1.jpg,OFERTA
AF1528,ELECTROLIT MORA AZUL,12 / 625 ML,244.79,20.4,https://i.postimg.cc/QN4YXBgG/AF1528.jpg,OFERTA
AF2473,ELECTROLIT MANZANA,12 / 625 ML,244.79,20.4,https://i.postimg.cc/nz69rvnr/AF2473.jpg,OFERTA
AF2476,ELECTROLIT NJA-MANDARINA,12 / 625 ML,244.79,20.4,https://i.postimg.cc/Y2WmVyxW/AF2476.jpg,OFERTA
AF2050,ELECTROLIT PONCHE DE FRUTAS,12 / 625 ML,243.19,20.27,https://i.postimg.cc/9M4CMXjB/AF2050.jpg,OFERTA
AF1327,ELECTROLIT UVA,12 / 625 ML,244.79,20.4,https://i.postimg.cc/52HhcBDR/AF1327.jpg,OFERTA
AB AG0116,AGUA E PURA PET 1.5LT,12 / 1.5 LT,134.52,11.21,https://i.postimg.cc/kXPtdFjh/AG0116.jpg,OFERTA
AB AG0117,AGUA E PURA PET 1LT,12 / 1 LT,124.41,10.37,https://i.postimg.cc/zXwHDb6D/AG0117.jpg,OFERTA
AB AG0209,AGUA E PURA PET 600ML,12 / 600 ML,95.7,7.98,https://i.postimg.cc/qvkhNBHs/AG0209.jpg,OFERTA
AI0827,GERBER ET 2 DURAZNO ,24 / 100 GR,267.05,11.13,https://i.postimg.cc/dtFDfQ1b/AI0827.jpg,OFERTA
AI0828,GERBER ET 2 FRUTAS MIXTAS ,24 / 100 GR,267.05,11.13,https://i.postimg.cc/vHvDwRxc/AI0828.jpg,OFERTA
AI0829,GERBER ET 2 MANGO ,24 / 100 GR,267.05,11.13,https://i.postimg.cc/8zPc1yLw/AI0829.jpg,OFERTA
AI0830,GERBER ET 2 MANZANA ,24 / 100 GR,267.05,11.13,https://i.postimg.cc/cL9H6QmW/AI0830.jpg,OFERTA
AI0831,GERBER ET 2 PERA 100G,24 / 100 GR,267.05,11.13,https://i.postimg.cc/ZqWqNC7d/AI0831.jpg,OFERTA
AI0835,GERBER ET 2 RES VERD. RES Y ARROZ,24 / 100 GR,265.22,11.05,https://i.postimg.cc/RFfVP2zC/AI0835.jpg,OFERTA
AI0853,GERBER ET 2 FRUTAS TROPICALES,24 / 100 GR,267.05,11.13,https://i.postimg.cc/cCc4Yqzt/AI0853.jpg,OFERTA
AM0578,PAL PERRO 20K,20 / KG,535.92,26.8,https://i.postimg.cc/dVM6pydq/AM0578.jpg,DISPONIBLE
AM0628,PEDIGREE AD. RES,12 / 100 GR,116.85,9.74,https://i.postimg.cc/gkhQxdH2/AM0628.jpg,OFERTA
AM0631,PEDIGREE AD. R P. CORDE,12 / 100 GR,116.85,9.74,https://i.postimg.cc/fbzrqdnV/AM0631.jpg,OFERTA
AM0632,PEDIGREE AD. R.P POLLO,12 / 100 GR,116.85,9.74,https://i.postimg.cc/N0dP30Bp/AM0632.jpg,OFERTA
AM0633,PEDIGREE AD. R.P. RES,12 / 100 GR,116.85,9.74,https://i.postimg.cc/263Xrf5m/AM0633.jpg,OFERTA
AM0770,PEDIGREE ADULTO SUPER PRECIO,22 / KG,794.45,36.11,https://i.postimg.cc/BnXNPc9p/AM0770.jpg,OFERTA
AM0629,PEDIGREE CACH. POLLO,12 / 100 GR,116.85,9.74,https://i.postimg.cc/zG1MWMxS/AM0629.jpg,OFERTA
AM0630,PEDIGREE CACH. RES,12 / 100 GR,116.85,9.74,https://i.postimg.cc/y8XGTP5q/AM0630.jpg,OFERTA
AM0667,PEDIGREE CACH. RES Y VEGET. 20K+2K,22 / KG,898.43,40.84,https://i.postimg.cc/X79hZ6xj/AM0667.jpg,OFERTA
AM0194,PEDIGREE LATA MOLIDA RES,24 / 375 GR,821.44,34.23,https://i.postimg.cc/HndH6x23/AM0194.jpg,OFERTA
AM0199,PEDIGREE LATA MOLIDA DE POLLO,12 / 625 GR,574.88,47.91,https://i.postimg.cc/65HwhBGL/AM0199.jpg,OFERTA
AM0404,PEDIGREE RAZA PEQ. 20k,20 / KG,844.41,42.22,https://i.postimg.cc/G2j6hjFJ/AM0404.jpg,DISPONIBLE
AM0790,WHISKAS ADULTO PRECIO ESPECIAL 22 KGS.,22 / KG,920.47,41.84,https://i.postimg.cc/qBLyhkzT/AM0790.jpg,OFERTA
AM0746,WHISKAS GATITOS ATUN,12 / 85 GR,114.15,9.51,https://i.postimg.cc/sfqnL67N/AM0746.jpg,OFERTA
AM0712,WHISKAS PARRILLADA MIXTA,12 / 85 GR,114.15,9.51,https://i.postimg.cc/vTJxYdXD/AM0712.jpg,OFERTA
AM0757,WHISKAS PAVO POLLO,12 / 85 GR,114.15,9.51,https://i.postimg.cc/1zmn5B00/AM0742.jpg,OFERTA
AM0714,WHISKAS PESCADO BLANCO,12 / 85 GR,114.15,9.51,https://i.postimg.cc/RCyHQc99/AM0714.jpg,OFERTA
AM1319,WHISKAS RECETA ORIGINAL 20K,20 / KG,860.37,43.02,https://i.postimg.cc/GtGKm3n0/AM1319.jpg,OFERTA
AM0734,WHISKAS RES,12 / 85 GR,114.15,9.51,https://i.postimg.cc/ncmQdCcm/AM0734.jpg,OFERTA
AM0738,WHISKAS SALMON,12 / 85 GR,114.15,9.51,https://i.postimg.cc/W477m6Rq/AM0738.jpg,OFERTA
